command_id,title,category,trigger,required_context,output_type,guardrail,generated_prompt,execution_mode
meeting-prep,Advisor Meeting Prep,client_workflow,Before a prospect/client meeting,"profile, proposal, review queue",meeting brief,Do not imply suitability or personalized recommendation approval.,"Prepare an advisor meeting brief for Capital Preservation Demo. Use the current proposal return 9.766016% and alpha -4.612711%. Cover objective, risk profile, model allocation rationale, questions to ask, and items requiring human review. Include this disclaimer: research-only, no personalized advice.",copy_to_ai_tool
proposal-draft,Model Proposal Draft,proposal,After selecting a policy profile,"profile, allocations, model performance",proposal narrative,State that this is an internal research proposal draft only.,Draft an internal model proposal for Capital Preservation Demo. Explain allocations: ai-wealth-defensive-income 55.0%; ai-wealth-core 35.0%; ai-wealth-growth 10.0%. Explain policy warnings: none. Use plain language and separate portfolio rationale from compliance limitations.,copy_to_ai_tool
portfolio-commentary,Portfolio Commentary,reporting,After snapshot generation,"model basket performance, candidates, market context",client-ready commentary draft,Do not market simulated results as live audited performance.,"Write portfolio commentary for the AI Wealth platform from 2026-01-31 to 2026-06-11. Mention top model baskets, underperforming models, risk-review candidates, and the need for human approval before external use.",copy_to_ai_tool
review-queue,Advisor Review Queue Triage,supervision,Daily or before publishing reports,"review queue, data flags, risk flags",prioritized review list,Data-review items must be resolved before external use.,"Prioritize the advisor review queue. High priority tasks: data_review:KLAC; data_review:KXIAY; data_review:MNTS; policy_warning:opportunistic-ai. Medium priority tasks: risk_review:BBAR; risk_review:LRCX; risk_review:MOV; risk_review:ONTO; risk_review:SNDK; risk_review:TEO. Return actions, owner, evidence needed, and decision status.",copy_to_ai_tool
data-quality-review,Market Data Quality Review,supervision,When candidates show extreme moves,"data quality flags, tickers, price changes",data-quality checklist,Do not approve candidates with unresolved split/bad-price flags.,"Review data-quality issues for tickers: KLAC, KXIAY, MNTS. For each ticker, list likely issue, validation steps, whether it can remain in reports, and what evidence is required.",copy_to_ai_tool
compliance-review,AI Marketing Compliance Review,compliance,Before publishing website/report/pitch copy,"marketing copy, AI claims, CSA guardrails",compliance notes,"Flag guaranteed-return, autonomous-advice, and unregistered-advice language.","Review AI wealth marketing language against these guardrails: AI outputs must be dated and reproducible from source data.; Every model candidate must retain visible signal, risk, and data-quality drivers.; Human review is required before external use of candidate, model, or proposal output.; Client profile proposals are policy-fit research drafts, not personalized investment advice.; Marketing language must say AI-assisted and human-supervised unless a registered process supports stronger claims.; Performance output must distinguish simulated/backtested results from live audited performance.. Rewrite claims to be CFA-led, human-supervised, AI-assisted, research-only, and not personalized advice.",copy_to_ai_tool
fact-sheet,Model Fact Sheet Generator,reporting,Monthly or after model changes,"basket performance, holdings, benchmark",model fact sheet,"Include methodology, assumptions, risks, and simulation limits.","Create a model fact sheet for AI Wealth Growth Model. Include objective, benchmark, holdings count, return, alpha, risks, ideal policy profile, methodology, and simulation limitations.",copy_to_ai_tool
next-best-action,Next Best Action Engine,advisor_os,Daily workflow review,"signals, proposals, review queue",action queue,"Actions are workflow tasks, not trade instructions.","Generate next-best actions for the AI Wealth advisor console using top candidates TEO, KLAC, AMAT, ASML, LRCX, KXIAY, MOV, BBAR, ready profiles Capital Preservation Demo, Balanced Growth Demo, AI Growth Demo, and review tasks 10. Group actions by research, client workflow, supervision, and reporting.",copy_to_ai_tool
client-follow-up,Client Follow-Up Draft,client_workflow,After a meeting or proposal review,"profile, proposal, open questions",follow-up email draft,Do not include specific investment recommendations unless reviewed by a registered advisor.,"Draft a concise follow-up email for Capital Preservation Demo. Summarize discussion points, documents needed, model research under review, and next steps. Keep it educational and compliance-safe.",copy_to_ai_tool
governance-log,AI Governance Log Entry,governance,After every snapshot/run,"window, command, inputs, outputs, reviewer",governance record,Record assumptions and unresolved risks.,"Create a governance log entry for the AI Wealth run from 2026-01-31 to 2026-06-11. Include data sources, generated outputs, unresolved review tasks, human reviewer fields, and publication decision.",copy_to_ai_tool
