ticker,security_type,sector,score,signal,risk_bucket,suggested_action,return_pct,daily_change_pct,five_day_change_pct,monthly_change_pct,data_quality_flags,drivers
TEO,stock,Daily Fresh Setups,100.0,near,high,risk_review,22.077917,12.297962,20.786093,36.698033,,near technical signal; 23.339292% 5D relative strength vs SPY; 1.313555x 5D volume ratio; 36.698033% monthly move
KLAC,stock,"Semiconductors - CMP, Cleaning & Metrology",100.0,fresh,high,data_review,70.983727,1029.235239,13.164083,33.140471,extreme_daily_move_check_split_or_bad_price,fresh technical signal; 15.717283% 5D relative strength vs SPY; 9.39868x 5D volume ratio; 33.140471% monthly move
AMAT,stock,Semiconductors - Deposition & Etch,94.831504,near,satellite,watchlist_candidate,68.28259,11.192935,10.153478,28.163265,,near technical signal; 12.706678% 5D relative strength vs SPY; 1.395497x 5D volume ratio; 28.163265% monthly move
ASML,stock,Semiconductors - Lithography,91.67012,near,satellite,watchlist_candidate,31.781125,9.531253,8.080366,24.888559,,near technical signal; 10.633565% 5D relative strength vs SPY; 1.656899x 5D volume ratio; 24.888559% monthly move
LRCX,stock,Semiconductors - Deposition & Etch,90.499517,near,high,risk_review,52.639995,12.653823,7.761358,25.335362,,near technical signal; 10.314557% 5D relative strength vs SPY; 1.488282x 5D volume ratio; 25.335362% monthly move
KXIAY,stock,Semiconductors - Memory,86.969964,near,high,data_review,306.798424,19.341374,4.913353,79.993,extreme_period_move_review_required,near technical signal; 7.466553% 5D relative strength vs SPY; 1.278038x 5D volume ratio; 79.993% monthly move
MOV,stock,Tactical Momentum,83.02976,near,high,risk_review,61.493051,6.213597,2.079452,44.545116,,near technical signal; 4.632652% 5D relative strength vs SPY; 1.538222x 5D volume ratio; 44.545116% monthly move
BBAR,stock,Daily Fresh Setups,77.326993,none,high,risk_review,1.051056,14.326165,13.746482,35.231079,,none technical signal; 16.299681% 5D relative strength vs SPY; 1.011053x 5D volume ratio; 35.231079% monthly move
SAIA,stock,Analyst Picks - Freight & Materials,74.175322,near,watchlist,watchlist_candidate,32.464994,5.054993,3.332419,11.991356,,near technical signal; 5.885618% 5D relative strength vs SPY; 1.434376x 5D volume ratio; 11.991356% monthly move
BHVN,stock,Daily Fresh Setups,70.666664,near,watchlist,watchlist_candidate,-3.234044,2.710029,-0.263156,23.586958,,near technical signal; 2.290044% 5D relative strength vs SPY; 1.320285x 5D volume ratio; 23.586958% monthly move
XEF,etf,ETF / Developed Markets,66.638757,near,core,monitor,5.374357,3.090502,0.019467,2.966525,,near technical signal; 2.572666% 5D relative strength vs SPY; 1.879679x 5D volume ratio; 2.966525% monthly move
DUOL,stock,Software,66.524411,none,watchlist,monitor,-6.128244,1.578907,13.463124,16.823883,,none technical signal; 16.016323% 5D relative strength vs SPY; 1.090066x 5D volume ratio; 16.823883% monthly move
SNDK,stock,Long-Term Watchlist,64.813474,none,high,risk_review,182.831766,14.500711,6.923415,29.578793,,none technical signal; 9.476614% 5D relative strength vs SPY; 0.950176x 5D volume ratio; 29.578793% monthly move
ONTO,stock,"Semiconductors - CMP, Cleaning & Metrology",64.75365,none,high,risk_review,49.943195,12.698182,10.470952,9.207022,,none technical signal; 13.024151% 5D relative strength vs SPY; 0.936132x 5D volume ratio; 9.207022% monthly move
TRP,stock,Energy Infrastructure,62.957544,near,watchlist,monitor,21.39634,0.728026,1.148823,6.604293,,near technical signal; 3.702023% 5D relative strength vs SPY; 1.309328x 5D volume ratio; 6.604293% monthly move
TOELY,stock,Semiconductors - Deposition & Etch,62.387988,none,watchlist,monitor,42.568483,0.596718,1.871658,13.08322,,none technical signal; 5.691397% 5D relative strength vs SPY; 3.84314x 5D volume ratio; 13.08322% monthly move
ACLS,stock,Semiconductors - Deposition & Etch,61.83303,none,watchlist,monitor,95.439716,10.252185,7.22803,7.380604,,none technical signal; 9.78123% 5D relative strength vs SPY; 1.172943x 5D volume ratio; 7.380604% monthly move
BIRK,stock,Daily Fresh Setups,60.841787,none,watchlist,monitor,24.354142,5.142203,7.490108,21.765476,,none technical signal; 10.043307% 5D relative strength vs SPY; 0.599722x 5D volume ratio; 21.765476% monthly move
KITS,stock,Consumer Health,60.320226,none,watchlist,monitor,-29.942695,9.970014,4.412811,30.748661,,none technical signal; 6.96601% 5D relative strength vs SPY; 0.58256x 5D volume ratio; 30.748661% monthly move
MNTS,stock,Long-Term Watchlist,59.15402,none,high,data_review,155.886963,43.738968,3.229888,205.243423,extreme_period_move_review_required,none technical signal; 5.783087% 5D relative strength vs SPY; 0.918019x 5D volume ratio; 205.243423% monthly move
