rank,ticker,company,sector,industry,latest_date,latest_close,market_cap_usd,latest_volume,prior_5d_return_pct,prior_20d_return_pct,prior_5d_volume_ratio,prior_5d_volume_up_sessions,distance_to_20d_high_pct,score
1,HPQ,HP Inc. Common Stock,Technology,Computer Manufacturing,2026-05-29,27.0400,24816902398,58996924,23.47,29.63,1.68,4,6.08,85.83
2,TEO,Telecom Argentina SA,Telecommunications,Telecommunications Equipment,2026-05-29,14.7100,6336150125,1256745,23.93,23.20,1.50,3,5.22,76.49
3,BBAR,Banco BBVA Argentina S.A. ADS,Finance,Commercial Banks,2026-05-29,18.3500,3747743317,781892,12.85,28.68,1.55,2,4.14,62.50
4,NVRI,Enviri Corporation Common Stock,Miscellaneous,Diversified Commercial Services,2026-05-29,20.7500,1716141242,5703870,4.59,5.38,2.72,3,-2.21,52.84
5,BIRK,Birkenstock Holding plc Ordinary Shares,Consumer Discretionary,Shoe Manufacturing,2026-05-29,45.0700,8288645944,2769133,13.61,16.34,1.37,2,2.27,52.56
6,BRZE,Braze Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,2026-05-29,25.6300,3119987367,3369613,9.48,16.34,1.48,4,0.71,52.29
7,BOX,Box Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,2026-05-29,26.9600,3732607282,4629446,6.14,11.40,1.42,3,4.09,50.57
8,PATH,UiPath Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,2026-05-29,11.7200,6099596613,64886171,10.88,13.79,1.35,3,1.21,48.17
9,BHVN,Biohaven Ltd. Common Shares ,Health Care,Biotechnology: Pharmaceutical Preparations,2026-05-29,11.0100,1657076455,4891632,16.14,14.81,1.33,3,-2.48,46.00
10,AXTA,Axalta Coating Systems Ltd. Common Shares,Consumer Discretionary,Paints/Coatings,2026-05-29,30.7700,6585357491,4525039,5.63,8.19,1.62,1,1.45,44.34
